OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Exposure - Impacted Area (sq mi),Coastal Flooding - Exposure - Building Value,Coastal Flooding - Exposure - Population,Coastal Flooding - Exposure - Population Equivalence,Coastal Flooding - Exposure - Total,Coastal Flooding - Historic Loss Ratio - Buildings,Coastal Flooding - Historic Loss Ratio - Population,Coastal Flooding - Historic Loss Ratio - Total Rating,Coastal Flooding - Expected Annual Loss - Building Value,Coastal Flooding - Expected Annual Loss - Population,Coastal Flooding - Expected Annual Loss - Population Equivalence,Coastal Flooding - Expected Annual Loss - Total,Coastal Flooding - Expected Annual Loss Score,Coastal Flooding - Expected Annual Loss Rating,Coastal Flooding - Expected Annual Loss Rate - Building,Coastal Flooding - Expected Annual Loss Rate - Population,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Coastal Flooding - Hazard Type Risk Index Value,Coastal Flooding - Hazard Type Risk Index Score,Coastal Flooding - Hazard Type Risk Index Rating,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,"847,576,059.00","22,895,173.00",102.20,,0.77,0.00,"573,075.33",1.09,"14,884,029.87","15,457,105.20",0.00,0.00,Relatively High,"1,080.15",0.00,1.40,"1,081.55",78.55,Relatively Low,0.00,0.00,87.49,"1,227.16",78.54,Relatively Low,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,"377,725,317.00","16,009,485.00",248.02,,0.78,0.00,"1,233,918.96",10.71,"146,744,286.21","147,978,205.17",0.00,0.00,Relatively Low,53.71,0.00,0.37,54.08,71.86,Very Low,0.00,0.00,82.08,57.64,71.88,Very Low,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,"1,393,041,817.00",0.00,1.48,,0.78,0.05,"145,288,489.95",270.85,"3,710,673,828.35","3,855,962,318.31",0.00,0.00,Relatively Low,"7,323.10",0.00,24.33,"7,347.43",85.59,Relatively Low,0.00,0.00,90.78,"11,095.82",86.58,Relatively Low,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,"938,505,634.00",0.00,1.92,,0.78,0.08,"157,308,524.24",373.07,"5,111,086,906.29","5,268,395,430.53",0.00,0.00,Relatively Low,"7,812.21",0.00,6.14,"7,818.35",85.88,Relatively Low,0.00,0.00,92.22,"8,775.41",85.57,Relatively Low,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,"2,198,844,020.00",0.00,2.41,,0.78,0.07,"103,863,531.58",345.03,"4,726,854,932.70","4,830,718,464.28",0.00,0.00,Relatively Low,"6,312.71",0.00,10.34,"6,323.05",84.93,Relatively Low,0.00,0.00,89.40,"7,217.24",84.77,Relatively Low,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,"2,117,424,005.00","2,031,375.00",23.81,,0.78,0.31,"340,369,456.50",852.43,"11,678,283,570.05","12,018,653,026.54",0.00,0.00,Relatively Low,"25,407.44",0.00,37.00,"25,444.44",90.81,Relatively Moderate,0.00,0.00,93.32,"28,998.84",90.58,Relatively Moderate,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,"728,709,822.00",0.00,1.85,,0.01,0.02,"14,049,344.83",101.07,"1,384,654,850.87","1,398,704,195.70",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,"630,274,044.00",2.00,1.20,,0.01,0.06,"36,929,361.86",268.83,"3,682,979,747.31","3,719,909,109.17",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,"708,564,677.00","694,725.00",11.80,,0.01,0.04,"22,016,135.02",140.98,"1,931,474,443.64","1,953,490,578.65",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,"935,915,555.00","239,704.00",4.17,,0.01,0.02,"11,964,137.99",77.25,"1,058,291,698.42","1,070,255,836.42",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24013,T15001020900,Hawaii,HI,15,Hawaii,County,001,15001,020900,15001020900,4802,"640,400,631.00","702,684.00",11.20,,0.01,0.25,"87,534,412.99",684.60,"9,379,086,846.05","9,466,621,259.04",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24014,T15001021003,Hawaii,HI,15,Hawaii,County,001,15001,021003,15001021003,7423,"635,749,363.00","696,038.00",13.21,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24015,T15001021011,Hawaii,HI,15,Hawaii,County,001,15001,021011,15001021011,4388,"672,076,421.00","2,483,796.00",96.08,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24016,T15001021013,Hawaii,HI,15,Hawaii,County,001,15001,021013,15001021013,4811,"1,380,195,816.00","34,616,680.00",54.38,,0.03,0.00,"526,448.30",5.63,"77,146,353.59","77,672,801.89",0.00,0.00,Relatively Low,18.21,0.00,0.15,18.36,70.74,Very Low,0.00,0.00,78.99,25.56,71.05,Very Low,December 2025
24017,T15001021014,Hawaii,HI,15,Hawaii,County,001,15001,021014,15001021014,8402,"866,576,171.00","104,965.00",8.05,,0.78,0.00,"55,729.12",0.34,"4,597,445.23","4,653,174.36",0.00,0.00,Relatively Moderate,46.90,0.00,0.22,47.12,71.62,Very Low,0.00,0.00,80.68,55.96,71.83,Very Low,December 2025
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,"681,492,125.00","110,929.00",8.11,,0.78,0.00,"749,017.18",4.10,"56,218,436.56","56,967,453.74",0.00,0.00,Relatively Low,229.01,0.00,0.99,229.99,74.41,Very Low,0.00,0.00,84.03,299.92,74.87,Very Low,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,"451,640,221.00","916,719.00",27.09,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,"417,551,918.00","899,243.00",31.88,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,"591,940,025.00","12,858,548.00",45.82,,0.78,0.12,"65,332,699.04",14.85,"203,469,816.36","268,802,515.40",0.00,0.00,Relatively Moderate,"16,241.65",0.00,4.97,"16,246.62",88.95,Relatively Moderate,0.00,0.00,95.79,"27,786.13",90.39,Relatively Moderate,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,"293,448,012.00","2,593,586.00",186.19,,0.78,0.01,"940,107.90",11.89,"162,883,842.01","163,823,949.91",0.00,0.00,Relatively Low,38.48,0.00,0.36,38.83,71.42,Very Low,0.00,0.00,81.72,64.92,72.05,Very Low,December 2025
