OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Exposure - Impacted Area (sq mi),Hurricane - Exposure - Building Value,Hurricane - Exposure - Population,Hurricane - Exposure - Population Equivalence,Hurricane - Exposure - Agriculture Value,Hurricane - Exposure - Total,Hurricane - Historic Loss Ratio - Buildings,Hurricane - Historic Loss Ratio - Population,Hurricane - Historic Loss Ratio - Agriculture,Hurricane - Historic Loss Ratio - Total Rating,Hurricane - Expected Annual Loss - Building Value,Hurricane - Expected Annual Loss - Population,Hurricane - Expected Annual Loss - Population Equivalence,Hurricane - Expected Annual Loss - Agriculture Value,Hurricane - Expected Annual Loss - Total,Hurricane - Expected Annual Loss Score,Hurricane - Expected Annual Loss Rating,Hurricane - Expected Annual Loss Rate - Building,Hurricane - Expected Annual Loss Rate - Population,Hurricane - Expected Annual Loss Rate - Agriculture,Hurricane - Expected Annual Loss Rate - National Percentile,Hurricane - Hazard Type Risk Index Value,Hurricane - Hazard Type Risk Index Score,Hurricane - Hazard Type Risk Index Rating,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,"847,576,059.00","22,895,173.00",102.20,2,0.05,98.08,"847,576,059.00","5,433","74,432,100,000.00","22,860,961.37","75,302,537,020.37",0.00,0.00,0.00,Very Low,"7,363.26",0.00,989.47,584.98,"8,937.71",51.10,Relatively Low,0.00,0.00,0.00,43.95,"10,141.05",51.62,Relatively Low,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,"377,725,317.00","16,009,485.00",248.02,5,0.08,247.56,"340,674,482.43","1,864","25,533,607,183.95","16,009,485.00","25,890,291,151.39",0.00,0.00,0.00,Relatively Low,"4,337.88",0.00,512.00,575.53,"5,425.41",47.61,Very Low,0.00,0.00,0.00,46.81,"5,782.98",47.66,Very Low,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,"1,393,041,817.00",0.00,1.48,2,0.05,1.29,"1,393,041,817.00","3,812","52,224,400,000.00",0.00,"53,617,441,817.00",0.00,0.00,0.00,Relatively Low,"16,485.96",0.00,977.05,0.00,"17,463.01",55.71,Relatively Low,0.00,0.00,0.00,49.38,"26,372.00",58.67,Relatively Low,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,"938,505,634.00",0.00,1.92,2,0.05,1.08,"938,505,634.00","3,517","48,182,900,000.00",0.00,"49,121,405,634.00",0.00,0.00,0.00,Relatively Low,"11,078.91",0.00,900.26,0.00,"11,979.17",53.02,Relatively Low,0.00,0.00,0.00,48.39,"13,445.57",53.50,Relatively Low,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,"2,198,844,020.00",0.00,2.41,2,0.05,2.41,"2,198,843,363.53","5,944","81,432,790,957.45",0.00,"83,631,634,320.98",0.00,0.00,0.00,Relatively Low,"25,957.00",0.00,"1,521.51",0.00,"27,478.51",60.13,Relatively Low,0.00,0.00,0.00,49.37,"31,364.48",60.66,Relatively Low,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,"2,117,424,005.00","2,031,375.00",23.81,2,0.05,19.74,"2,117,424,005.00","5,631","77,144,700,000.00","2,031,375.00","79,264,155,380.00",0.00,0.00,0.00,Relatively Low,"24,995.86",0.00,"1,441.39",62.50,"26,499.74",59.72,Relatively Low,0.00,0.00,0.00,49.44,"30,201.56",60.17,Relatively Low,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,"728,709,822.00",0.00,1.85,2,0.05,1.85,"728,709,822.00","4,811","65,910,700,000.00",0.00,"66,639,409,822.00",0.00,0.00,0.00,Very Low,"8,602.30",0.00,"1,231.49",0.00,"9,833.79",51.76,Relatively Low,0.00,0.00,0.00,45.41,"13,600.69",53.57,Relatively Low,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,"630,274,044.00",2.00,1.20,2,0.05,1.20,"630,274,044.00","4,647","63,663,900,000.00",2.00,"64,294,174,046.00",0.00,0.00,0.00,Very Low,"7,440.29",0.00,"1,189.51",0.00,"8,629.80",50.90,Relatively Low,0.00,0.00,0.00,44.59,"6,951.22",49.06,Very Low,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,"708,564,677.00","694,725.00",11.80,2,0.07,11.80,"708,564,677.00","4,365","59,800,500,000.00","694,725.00","60,509,759,402.00",0.00,0.00,0.00,Very Low,"9,853.77",0.00,"1,406.73",31.30,"11,291.79",52.60,Relatively Low,0.00,0.00,0.00,46.26,"10,487.80",51.87,Relatively Low,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,"935,915,555.00","239,704.00",4.17,2,0.05,4.17,"935,915,555.00","6,544","89,652,800,000.00","239,704.00","90,588,955,259.00",0.00,0.00,0.00,Very Low,"11,065.71",0.00,"1,677.55",7.40,"12,750.67",53.44,Relatively Low,0.00,0.00,0.00,45.03,"17,403.44",55.25,Relatively Low,December 2025
