OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Landslide - Number of Events,Landslide - Annualized Frequency,Landslide - Exposure - Impacted Area (sq mi),Landslide - Exposure - Building Value,Landslide - Exposure - Population,Landslide - Exposure - Population Equivalence,Landslide - Exposure - Total,Landslide - Historic Loss Ratio - Buildings,Landslide - Historic Loss Ratio - Population,Landslide - Historic Loss Ratio - Total Rating,Landslide - Expected Annual Loss - Building Value,Landslide - Expected Annual Loss - Population,Landslide - Expected Annual Loss - Population Equivalence,Landslide - Expected Annual Loss - Total,Landslide - Expected Annual Loss Score,Landslide - Expected Annual Loss Rating,Landslide - Expected Annual Loss Rate - Building,Landslide - Expected Annual Loss Rate - Population,Landslide - Expected Annual Loss Rate - National Percentile,Landslide - Hazard Type Risk Index Value,Landslide - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Rating,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,"847,576,059.00","22,895,173.00",102.20,,0.40,1.34,"68,411,896.18",370.91,"5,081,502,567.59","5,149,914,463.76",0.00,0.00,Relatively Low,112.12,0.00,617.56,729.68,90.60,Relatively Low,0.00,0.00,37.95,827.93,91.26,Relatively Low,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,"377,725,317.00","16,009,485.00",248.02,,0.38,0.49,"22,694,268.88",161.24,"2,208,943,098.80","2,231,637,367.68",0.00,0.00,Relatively Low,35.13,0.00,253.57,288.70,86.35,Relatively Low,0.00,0.00,33.15,307.73,86.85,Relatively Low,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,"1,393,041,817.00",0.00,1.48,,0.00,0.28,"36,239,313.84",203.93,"2,793,833,448.34","2,830,072,762.18",0.00,0.00,Very Low,0.57,0.00,3.28,3.86,51.93,Very Low,0.00,0.00,22.99,5.83,55.72,Very Low,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,"938,505,634.00",0.00,1.92,,0.00,0.12,"5,183,400.19",21.50,"294,553,779.06","299,737,179.25",0.00,0.00,Very Low,0.01,0.00,0.03,0.04,17.50,Very Low,0.00,0.00,17.13,0.05,17.43,Very Low,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,"2,198,844,020.00",0.00,2.41,,0.00,0.10,"5,932,568.15",15.41,"211,072,725.61","217,005,293.76",0.00,0.00,Very Low,0.03,0.00,0.09,0.12,22.70,Very Low,0.00,0.00,21.09,0.14,22.84,Very Low,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,"2,117,424,005.00","2,031,375.00",23.81,,0.01,0.06,"1,527,597.81",8.38,"114,815,798.78","116,343,396.59",0.00,0.00,Very Low,0.05,0.00,0.27,0.31,28.94,Very Low,0.00,0.00,16.81,0.36,29.26,Very Low,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,"728,709,822.00",0.00,1.85,,0.00,0.15,"2,635,139.32",17.69,"242,414,696.72","245,049,836.04",0.00,0.00,Very Low,0.01,0.00,0.08,0.09,21.01,Very Low,0.00,0.00,15.17,0.12,22.20,Very Low,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,"630,274,044.00",2.00,1.20,,0.00,0.13,"2,789,355.32",20.36,"278,882,162.34","281,671,517.66",0.00,0.00,Very Low,0.01,0.00,0.06,0.07,19.62,Very Low,0.00,0.00,14.54,0.05,18.11,Very Low,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,"708,564,677.00","694,725.00",11.80,,0.01,0.22,"4,305,127.70",27.06,"370,702,177.52","375,007,305.22",0.00,0.00,Very Low,0.17,0.00,1.08,1.25,40.83,Very Low,0.00,0.00,20.57,1.16,39.39,Very Low,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,"935,915,555.00","239,704.00",4.17,,0.00,0.55,"21,115,310.22",138.27,"1,894,293,168.46","1,915,408,478.68",0.00,0.00,Very Low,0.41,0.00,2.70,3.10,49.72,Very Low,0.00,0.00,21.73,4.24,52.48,Very Low,December 2025
