OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Lightning - Number of Events,Lightning - Annualized Frequency,Lightning - Exposure - Impacted Area (sq mi),Lightning - Exposure - Building Value,Lightning - Exposure - Population,Lightning - Exposure - Population Equivalence,Lightning - Exposure - Total,Lightning - Historic Loss Ratio - Buildings,Lightning - Historic Loss Ratio - Population,Lightning - Historic Loss Ratio - Total Rating,Lightning - Expected Annual Loss - Building Value,Lightning - Expected Annual Loss - Population,Lightning - Expected Annual Loss - Population Equivalence,Lightning - Expected Annual Loss - Total,Lightning - Expected Annual Loss Score,Lightning - Expected Annual Loss Rating,Lightning - Expected Annual Loss Rate - Building,Lightning - Expected Annual Loss Rate - Population,Lightning - Expected Annual Loss Rate - National Percentile,Lightning - Hazard Type Risk Index Value,Lightning - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Rating,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,"847,576,059.00","22,895,173.00",102.20,"47,556.00",85.00,98.08,"847,576,059.00","5,433.00","74,432,100,000.00","75,279,676,059.00",0.00,0.00,Relatively High,"2,644.42",0.01,"73,383.34","76,027.76",97.13,Very High,0.00,0.00,58.25,"86,263.87",96.84,Very High,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,"377,725,317.00","16,009,485.00",248.02,"38,106.00",83.23,247.56,"377,725,317.00","2,035.00","27,879,500,000.00","28,257,225,317.00",0.00,0.00,Relatively High,"1,176.06",0.00,"26,939.96","28,116.02",79.19,Relatively High,0.00,0.00,63.14,"29,969.08",77.28,Relatively Moderate,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,"1,393,041,817.00",0.00,1.48,"7,926.00",83.88,1.29,"1,393,041,817.00","3,812.00","52,224,400,000.00","53,617,441,817.00",0.00,0.00,Relatively High,"4,281.77",0.00,"49,934.13","54,215.90",93.89,Relatively High,0.00,0.00,78.30,"81,874.89",96.42,Very High,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,"938,505,634.00",0.00,1.92,"9,017.00",85.00,1.08,"938,505,634.00","3,517.00","48,182,900,000.00","49,121,405,634.00",0.00,0.00,Relatively High,"2,910.51",0.00,"46,380.08","49,290.60",92.63,Relatively High,0.00,0.00,71.62,"55,324.40",91.78,Relatively High,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,"2,198,844,020.00",0.00,2.41,"13,005.00",85.00,2.41,"2,198,844,020.00","5,944.00","81,432,800,000.00","83,631,644,020.00",0.00,0.00,Relatively High,"6,819.10",0.01,"78,385.90","85,205.00",97.83,Very High,0.00,0.00,78.62,"97,254.59",97.63,Very High,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,"2,117,424,005.00","2,031,375.00",23.81,"30,062.00",86.15,19.74,"2,117,424,005.00","5,631.00","77,144,700,000.00","79,262,124,005.00",0.00,0.00,Relatively High,"6,632.63",0.01,"74,961.93","81,594.57",97.58,Very High,0.00,0.00,79.00,"92,992.71",97.36,Very High,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,"728,709,822.00",0.00,1.85,"6,460.00",85.00,1.85,"728,709,822.00","4,811.00","65,910,700,000.00","66,639,409,822.00",0.00,0.00,Relatively High,"2,259.89",0.00,"63,444.58","65,704.47",95.94,Very High,0.00,0.00,57.91,"90,872.98",97.22,Very High,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,"630,274,044.00",2.00,1.20,"4,454.00",86.32,1.20,"630,274,044.00","4,647.00","63,663,900,000.00","64,294,174,044.00",0.00,0.00,Relatively High,"1,985.27",0.00,"62,339.63","64,324.90",95.74,Very High,0.00,0.00,54.91,"51,813.11",90.64,Relatively High,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,"708,564,677.00","694,725.00",11.80,"8,875.00",87.06,11.80,"708,564,677.00","4,365.00","59,800,500,000.00","60,509,064,677.00",0.00,0.00,Relatively High,"2,245.07",0.00,"59,224.25","61,469.32",95.29,Very High,0.00,0.00,59.64,"57,092.63",92.26,Relatively High,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,"935,915,555.00","239,704.00",4.17,"5,764.00",84.53,4.17,"935,915,555.00","6,544.00","89,652,800,000.00","90,588,715,555.00",0.00,0.00,Relatively High,"2,888.63",0.01,"86,025.73","88,914.36",98.07,Very High,0.00,0.00,56.27,"121,359.59",98.58,Very High,December 2025
