OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss - Agriculture Value - Composite,Expected Annual Loss Rate - Building - Composite,Expected Annual Loss Rate - Population - Composite,Expected Annual Loss Rate - Agriculture - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate - National Percentile - Composite,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,847576059,22895173,102.20031978,98.1210512718134,Very High,93.5632183908046,6870632.60206117,6315444.5416944,0.0404669793107285,554397.616580527,790.443251477502,0.00836438706352417,7.44836725763455E-06,3.87557064693141E-05,99.3376705733142,99.3388272507819,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,377725317,16009485,248.01777117,89.8818610987153,Relatively High,82.2988505747126,3474203.49965613,3149907.06884263,0.023587806048563,323152.94282456,1143.487960869,0.00936117843477431,1.15910594833233E-05,8.01794609028984E-05,99.0722690654579,99.052239782146,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,1393041817,0,1.47763629,99.8050590694506,Very High,99.0804597701149,16124634.2927567,12742362.7683917,0.24688113321689,3382271.52511566,0,0.0102682087247247,6.47642007389533E-05,0,93.4377715668084,93.9233943372219,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,938505634,0,1.91849268,99.4715456701975,Very High,98.6206896551724,11450685.1371975,8632278.83281772,0.205723087515536,2818406.29897511,0,0.0103251757544449,5.84939117189467E-05,0,90.7473518566362,91.3559987157076,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,2198844020,0,2.41382739,99.9377598233788,Very High,100,24177019.0487903,19485840.4141189,0.34242179818516,4691178.63513664,0,0.00994795003377461,5.76079741226716E-05,0,94.5040749700542,94.7926700200968,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,2117424005,2031375,23.81243358,99.9354111374686,Very High,99.7701149425287,24051629.5210301,20235741.0819596,0.278526380295507,3815811.40996062,77.0335879085548,0.0107280344180909,4.94630403650342E-05,4.25695420677538E-05,96.62611268995,96.7310002021571,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,728709822,0,1.84723461,99.0088545458816,Very High,95.8620689655172,8970776.82542127,8027955.20236286,0.0688190965806103,942821.62315171,0,0.0123668528671425,1.43045305717336E-05,0,98.7481504098457,98.8048945809996,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,630274044,2,1.201434,98.8738051060432,Very High,95.1724137931034,8572990.42086527,7629793.59866992,0.0688464833696401,943196.822171007,7.05366661438056E-05,0.0135891484851244,1.48152535764235E-05,7.05366661438056E-05,98.6142753129624,98.5967916473428,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,708564677,694725,11.79887241,99.0076802029265,Very High,95.632183908046,8967231.00746886,8152460.2814114,0.0592548399826425,811791.307680825,2979.41826207427,0.0129157036000124,1.35749919776959E-05,0.00481424107910837,99.1591704441365,99.188993138549,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,935915555,239704,4.16703105,99.4222232660826,Very High,98.1609195402299,11079551.1250037,10221712.5519689,0.0625682483585915,857185.00251011,653.570601315467,0.0122601525835435,9.56116264648403E-06,0.00306074752527931,99.4539305258708,99.4993637996028,December 2025
