OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Strong Wind - Number of Events,Strong Wind - Annualized Frequency,Strong Wind - Exposure - Impacted Area (sq mi),Strong Wind - Exposure - Building Value,Strong Wind - Exposure - Population,Strong Wind - Exposure - Population Equivalence,Strong Wind - Exposure - Agriculture Value,Strong Wind - Exposure - Total,Strong Wind - Historic Loss Ratio - Buildings,Strong Wind - Historic Loss Ratio - Population,Strong Wind - Historic Loss Ratio - Agriculture,Strong Wind - Historic Loss Ratio - Total Rating,Strong Wind - Expected Annual Loss - Building Value,Strong Wind - Expected Annual Loss - Population,Strong Wind - Expected Annual Loss - Population Equivalence,Strong Wind - Expected Annual Loss - Agriculture Value,Strong Wind - Expected Annual Loss - Total,Strong Wind - Expected Annual Loss Score,Strong Wind - Expected Annual Loss Rating,Strong Wind - Expected Annual Loss Rate - Building,Strong Wind - Expected Annual Loss Rate - Population,Strong Wind - Expected Annual Loss Rate - Agriculture,Strong Wind - Expected Annual Loss Rate - National Percentile,Strong Wind - Hazard Type Risk Index Value,Strong Wind - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Rating,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,"847,576,059.00","22,895,173.00",102.20,1.00,0.01,98.08,"847,576,059.00","5,433.00","74,432,100,000.00","22,895,173.00","75,302,571,232.00",0.00,0.00,0.00,Very Low,56.51,0.00,105.96,63.71,226.18,4.19,Very Low,0.00,0.00,0.00,46.67,256.63,3.22,Very Low,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,"377,725,317.00","16,009,485.00",248.02,1.00,0.01,247.56,"377,725,317.00","2,035.00","27,879,500,000.00","16,009,485.00","28,273,234,802.00",0.00,0.00,0.00,Very Low,29.12,0.00,45.31,46.40,120.83,2.54,Very Low,0.00,0.00,0.00,55.33,128.79,1.59,Very Low,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,"1,393,041,817.00",0.00,1.48,1.00,0.00,1.29,"1,393,041,817.00","3,812.00","52,224,400,000.00",0.00,"53,617,441,817.00",0.00,0.00,0.00,Very Low,87.04,0.00,69.86,0.00,156.89,3.11,Very Low,0.00,0.00,0.00,10.33,236.94,2.98,Very Low,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,"938,505,634.00",0.00,1.92,1.00,0.00,1.08,"938,505,634.00","3,517.00","48,182,900,000.00",0.00,"49,121,405,634.00",0.00,0.00,0.00,Very Low,58.34,0.00,64.28,0.00,122.63,2.58,Very Low,0.00,0.00,0.00,9.10,137.64,1.73,Very Low,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,"2,198,844,020.00",0.00,2.41,1.00,0.00,2.41,"2,198,844,020.00","5,944.00","81,432,800,000.00",0.00,"83,631,644,020.00",0.00,0.00,0.00,Very Low,136.69,0.00,108.65,0.00,245.34,4.47,Very Low,0.00,0.00,0.00,9.96,280.04,3.52,Very Low,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,"2,117,424,005.00","2,031,375.00",23.81,1.00,0.00,19.74,"2,117,424,005.00","5,631.00","77,144,700,000.00","2,031,375.00","79,264,155,380.00",0.00,0.00,0.00,Very Low,131.63,0.00,102.92,4.40,238.96,4.38,Very Low,0.00,0.00,0.00,13.17,272.34,3.41,Very Low,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,"728,709,822.00",0.00,1.85,1.00,0.00,1.85,"728,709,822.00","4,811.00","65,910,700,000.00",0.00,"66,639,409,822.00",0.00,0.00,0.00,Very Low,45.30,0.00,87.94,0.00,133.24,2.75,Very Low,0.00,0.00,0.00,7.24,184.27,2.33,Very Low,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,"630,274,044.00",2.00,1.20,1.00,0.00,1.20,"630,274,044.00","4,647.00","63,663,900,000.00",2.00,"64,294,174,046.00",0.00,0.00,0.00,Very Low,39.18,0.00,84.94,0.00,124.12,2.60,Very Low,0.00,0.00,0.00,6.87,99.98,1.24,Very Low,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,"708,564,677.00","694,725.00",11.80,1.00,0.01,11.80,"708,564,677.00","4,365.00","59,800,500,000.00","694,725.00","60,509,759,402.00",0.00,0.00,0.00,Very Low,59.73,0.00,121.11,2.90,183.75,3.52,Very Low,0.00,0.00,0.00,14.93,170.67,2.17,Very Low,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,"935,915,555.00","239,704.00",4.17,1.00,0.00,4.17,"935,915,555.00","6,544.00","89,652,800,000.00","239,704.00","90,588,955,259.00",0.00,0.00,0.00,Very Low,58.37,0.00,119.96,0.52,178.85,3.44,Very Low,0.00,0.00,0.00,8.24,244.12,3.07,Very Low,December 2025
24013,T15001020900,Hawaii,HI,15,Hawaii,County,001,15001,020900,15001020900,4802,"640,400,631.00","702,684.00",11.20,1.00,0.00,11.20,"640,400,631.00","4,802.00","65,787,400,000.00","702,684.00","66,428,503,315.00",0.00,0.00,0.00,Very Low,41.61,0.00,92.17,1.58,135.36,2.78,Very Low,0.00,0.00,0.00,10.17,149.08,1.89,Very Low,December 2025
24014,T15001021003,Hawaii,HI,15,Hawaii,County,001,15001,021003,15001021003,7423,"635,749,363.00","696,038.00",13.21,1.00,0.00,13.21,"635,749,363.00","7,423.00","101,695,100,000.00","696,038.00","102,331,545,401.00",0.00,0.00,0.00,Very Low,39.52,0.00,135.68,1.51,176.71,3.40,Very Low,0.00,0.00,0.00,8.29,223.01,2.82,Very Low,December 2025
24015,T15001021011,Hawaii,HI,15,Hawaii,County,001,15001,021011,15001021011,4388,"672,076,421.00","2,483,796.00",96.08,1.00,0.01,96.08,"672,076,421.00","4,388.00","60,115,600,000.00","2,483,796.00","60,790,160,217.00",0.00,0.00,0.00,Very Low,72.86,0.00,131.20,9.89,213.95,3.99,Very Low,0.00,0.00,0.00,22.62,247.99,3.11,Very Low,December 2025
24016,T15001021013,Hawaii,HI,15,Hawaii,County,001,15001,021013,15001021013,4811,"1,380,195,816.00","34,616,680.00",54.38,1.00,0.00,52.28,"1,380,195,816.00","4,811.00","65,910,700,000.00","34,616,680.00","67,325,512,496.00",0.00,0.00,0.00,Very Low,85.80,0.00,87.94,75.05,248.78,4.53,Very Low,0.00,0.00,0.00,48.17,346.21,4.39,Very Low,December 2025
24017,T15001021014,Hawaii,HI,15,Hawaii,County,001,15001,021014,15001021014,8402,"866,576,171.00","104,965.00",8.05,1.00,0.00,8.05,"866,576,171.00","8,402.00","115,107,400,000.00","104,965.00","115,974,081,136.00",0.00,0.00,0.00,Very Low,53.87,0.00,153.57,0.23,207.67,3.90,Very Low,0.00,0.00,0.00,6.15,246.59,3.10,Very Low,December 2025
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,"681,492,125.00","110,929.00",8.11,1.00,0.00,7.03,"681,492,125.00","6,080.00","83,296,000,000.00","110,929.00","83,977,603,054.00",0.00,0.00,0.00,Very Low,42.37,0.00,111.13,0.24,153.74,3.05,Very Low,0.00,0.00,0.00,6.74,200.48,2.53,Very Low,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,"451,640,221.00","916,719.00",27.09,1.00,0.00,27.09,"451,640,221.00","5,525.00","75,692,500,000.00","916,719.00","76,145,056,940.00",0.00,0.00,0.00,Very Low,28.08,0.00,100.99,1.99,131.05,2.70,Very Low,0.00,0.00,0.00,9.83,221.20,2.80,Very Low,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,"417,551,918.00","899,243.00",31.88,1.00,0.00,31.88,"417,551,918.00","4,572.00","62,636,400,000.00","899,243.00","63,054,851,161.00",0.00,0.00,0.00,Very Low,42.60,0.00,125.78,2.04,170.42,3.31,Very Low,0.00,0.00,0.00,13.58,246.94,3.10,Very Low,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,"591,940,025.00","12,858,548.00",45.82,1.00,0.00,41.47,"591,940,025.00","2,793.00","38,264,100,000.00","12,858,548.00","38,868,898,573.00",0.00,0.00,0.00,Very Low,36.80,0.00,51.05,27.88,115.73,2.46,Very Low,0.00,0.00,0.00,43.26,197.92,2.50,Very Low,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,"293,448,012.00","2,593,586.00",186.19,1.00,0.00,185.27,"293,448,012.00","1,365.00","18,700,500,000.00","2,593,586.00","18,996,541,598.00",0.00,0.00,0.00,Very Low,18.54,0.00,25.57,6.37,50.48,1.25,Very Low,0.00,0.00,0.00,30.53,84.40,1.03,Very Low,December 2025
24023,T15001021108,Hawaii,HI,15,Hawaii,County,001,15001,021108,15001021108,6319,"786,920,666.00","7,720,087.00",49.29,1.00,0.00,43.87,"786,920,666.00","6,319.00","86,570,300,000.00","7,720,087.00","87,364,940,753.00",0.00,0.00,0.00,Very Low,48.92,0.00,115.50,16.74,181.16,3.48,Very Low,0.00,0.00,0.00,24.13,317.66,4.01,Very Low,December 2025
24024,T15001021203,Hawaii,HI,15,Hawaii,County,001,15001,021203,15001021203,6079,"750,961,781.00","38,673,971.00",803.05,1.00,0.01,790.59,"750,961,781.00","6,079.00","83,282,300,000.00","38,673,971.00","84,071,935,752.00",0.00,0.00,0.00,Very Low,93.35,0.00,222.23,167.68,483.25,7.67,Very Low,0.00,0.00,0.00,54.05,562.95,6.64,Very Low,December 2025
24025,T15001021204,Hawaii,HI,15,Hawaii,County,001,15001,021204,15001021204,2855,"431,675,256.00","7,794,577.00",169.93,1.00,0.01,148.55,"431,675,256.00","2,855.00","39,113,500,000.00","7,794,577.00","39,552,969,833.00",0.00,0.00,0.00,Very Low,53.63,0.00,104.31,32.23,190.18,3.63,Very Low,0.00,0.00,0.00,40.01,258.33,3.24,Very Low,December 2025
24026,T15001021300,Hawaii,HI,15,Hawaii,County,001,15001,021300,15001021300,5913,"975,908,646.00","40,875,946.00",338.78,1.00,0.01,316.55,"975,908,646.00","5,913.00","81,008,100,000.00","40,875,946.00","82,024,884,592.00",0.00,0.00,0.00,Very Low,121.34,0.00,216.16,177.23,514.72,7.93,Very Low,0.00,0.00,0.00,54.51,528.92,6.35,Very Low,December 2025
24027,T15001021402,Hawaii,HI,15,Hawaii,County,001,15001,021402,15001021402,3876,"906,219,252.00","5,340,816.00",18.82,1.00,0.01,16.36,"906,219,252.00","3,876.00","53,101,200,000.00","5,340,816.00","54,012,760,068.00",0.00,0.00,0.00,Very Low,112.67,0.00,141.69,23.16,277.52,4.96,Very Low,0.00,0.00,0.00,31.51,329.28,4.16,Very Low,December 2025
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,"950,596,034.00","16,940,046.00",365.81,1.00,0.01,365.81,"950,596,034.00","5,432.00","74,418,400,000.00","16,940,046.00","75,385,936,080.00",0.00,0.00,0.00,Very Low,118.19,0.00,198.57,73.45,390.21,6.67,Very Low,0.00,0.00,0.00,42.71,384.23,4.84,Very Low,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,"1,489,513,611.00","16,685.00",14.92,1.00,0.01,12.04,"1,489,513,611.00","5,932.00","81,268,400,000.00","16,685.00","82,757,930,296.00",0.00,0.00,0.00,Very Low,185.20,0.00,216.85,0.07,402.12,6.84,Very Low,0.00,0.00,0.00,18.18,651.25,7.32,Very Low,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,1.00,0.01,8.86,"1,253,964,520.00","3,550.00","48,635,000,000.00","1,263,701.00","49,890,228,221.00",0.00,0.00,0.00,Very Low,155.91,0.00,129.77,5.48,291.16,5.20,Very Low,0.00,0.00,0.00,23.66,502.76,6.11,Very Low,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,1.00,0.01,1.37,"261,669,134.00","1,568.00","21,481,600,000.00","806,989.00","21,744,076,123.00",0.00,0.00,0.00,Very Low,32.53,0.00,57.32,3.50,93.35,2.06,Very Low,0.00,0.00,0.00,22.41,94.31,1.18,Very Low,December 2025
