OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tornado - Number of Events,Tornado - Annualized Frequency,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Population Equivalence,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Buildings,Tornado - Historic Loss Ratio - Population,Tornado - Historic Loss Ratio - Agriculture,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - Building,Tornado - Expected Annual Loss Rate - Population,Tornado - Expected Annual Loss Rate - Agriculture,Tornado - Expected Annual Loss Rate - National Percentile,Tornado - Hazard Type Risk Index Value,Tornado - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Rating,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,"847,576,059.00","22,895,173.00",102.20,0.00,0.00,56.74,"847,576,059.00","5,433.00","74,432,100,000.00","22,895,173.00","75,302,571,232.00",0.00,0.00,0.00,Very Low,205.87,0.00,37.29,6.78,249.94,1.65,Very Low,0.00,0.00,0.00,5.64,283.59,1.64,Very Low,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,"377,725,317.00","16,009,485.00",248.02,0.00,0.00,109.26,"377,725,317.00","2,035.00","27,879,500,000.00","16,009,485.00","28,273,234,802.00",0.00,0.00,0.00,Very Low,137.14,0.00,37.51,4.53,179.17,1.47,Very Low,0.00,0.00,0.00,5.77,190.98,1.40,Very Low,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,"1,393,041,817.00",0.00,1.48,0.00,0.00,1.45,"1,393,041,817.00","3,812.00","52,224,400,000.00",0.00,"53,617,441,817.00",0.03,0.00,0.00,Very Low,270.84,0.00,7.41,0.00,278.24,1.70,Very Low,0.00,0.00,0.00,3.29,420.19,1.83,Very Low,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,"938,505,634.00",0.00,1.92,0.00,0.00,1.75,"938,505,634.00","3,517.00","48,182,900,000.00",0.00,"49,121,405,634.00",0.02,0.00,0.00,Very Low,179.08,0.00,6.13,0.00,185.21,1.48,Very Low,0.00,0.00,0.00,3.25,207.88,1.45,Very Low,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,"2,198,844,020.00",0.00,2.41,0.00,0.00,2.41,"2,198,844,020.00","5,944.00","81,432,800,000.00",0.00,"83,631,644,020.00",0.02,0.00,0.00,Very Low,419.57,0.00,10.36,0.00,429.93,1.96,Very Low,0.00,0.00,0.00,3.26,490.73,1.93,Very Low,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,"2,117,424,005.00","2,031,375.00",23.81,0.00,0.00,19.59,"2,117,424,005.00","5,631.00","77,144,700,000.00","2,031,375.00","79,264,155,380.00",0.00,0.00,0.00,Very Low,404.18,0.00,9.82,0.19,414.19,1.93,Very Low,0.00,0.00,0.00,3.33,472.05,1.90,Very Low,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,"728,709,822.00",0.00,1.85,0.00,0.00,1.85,"728,709,822.00","4,811.00","65,910,700,000.00",0.00,"66,639,409,822.00",0.02,0.00,0.00,Very Low,139.05,0.00,8.39,0.00,147.43,1.33,Very Low,0.00,0.00,0.00,3.17,203.91,1.44,Very Low,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,"630,274,044.00",2.00,1.20,0.00,0.00,1.20,"630,274,044.00","4,647.00","63,663,900,000.00",2.00,"64,294,174,046.00",0.03,0.00,0.01,Very Low,120.26,0.00,8.10,0.00,128.36,1.23,Very Low,0.00,0.00,0.00,3.15,103.40,0.87,Very Low,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,"708,564,677.00","694,725.00",11.80,0.00,0.00,8.96,"708,564,677.00","4,365.00","59,800,500,000.00","694,725.00","60,509,759,402.00",0.01,0.00,0.01,Very Low,316.33,0.00,180.50,0.37,497.20,2.09,Very Low,0.00,0.00,0.00,3.24,461.80,1.89,Very Low,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,"935,915,555.00","239,704.00",4.17,1.00,0.00,3.56,"935,915,555.00","6,544.00","89,652,800,000.00","239,704.00","90,588,955,259.00",0.01,0.00,0.01,Very Low,180.70,0.00,12.88,0.03,193.60,1.52,Very Low,0.00,0.00,0.00,3.18,264.25,1.59,Very Low,December 2025
