OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tsunami - Number of Events,Tsunami - Annualized Frequency,Tsunami - Exposure - Impacted Area (sq mi),Tsunami - Exposure - Building Value,Tsunami - Exposure - Population,Tsunami - Exposure - Population Equivalence,Tsunami - Exposure - Total,Tsunami - Historic Loss Ratio - Buildings,Tsunami - Historic Loss Ratio - Population,Tsunami - Historic Loss Ratio - Total Rating,Tsunami - Expected Annual Loss - Building Value,Tsunami - Expected Annual Loss - Population,Tsunami - Expected Annual Loss - Population Equivalence,Tsunami - Expected Annual Loss - Total,Tsunami - Expected Annual Loss Score,Tsunami - Expected Annual Loss Rating,Tsunami - Expected Annual Loss Rate - Building,Tsunami - Expected Annual Loss Rate - Population,Tsunami - Expected Annual Loss Rate - National Percentile,Tsunami - Hazard Type Risk Index Value,Tsunami - Hazard Type Risk Index Score,Tsunami - Hazard Type Risk Index Rating,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,"847,576,059.00","22,895,173.00",102.20,147.00,0.66,98.08,"139,741,513.65",3.34,"45,778,048.78","185,519,562.43",0.00,0.00,Relatively Moderate,"14,177.11",0.00,0.00,"14,177.11",51.21,Relatively Low,0.00,0.00,65.99,"16,085.87",49.85,Relatively Low,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,"377,725,317.00","16,009,485.00",248.02,147.00,0.66,247.56,"191,535,388.15",28.17,"385,918,461.54","577,453,849.69",0.00,0.00,Relatively Moderate,"36,060.32",0.00,0.00,"36,060.32",60.91,Relatively Low,0.00,0.00,80.01,"38,436.97",59.57,Relatively Low,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,"1,393,041,817.00",0.00,1.48,147.00,0.66,1.29,"1,456,187,393.12","1,264.96","17,329,962,524.66","18,786,149,917.78",0.00,0.00,Relatively High,"2,080,902.20",0.00,0.00,"2,080,902.20",93.78,Relatively High,0.00,0.00,96.76,"3,142,503.00",96.25,Relatively High,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,"938,505,634.00",0.00,1.92,147.00,0.66,1.08,"1,522,791,070.52","1,246.82","17,081,423,471.59","18,604,214,542.11",0.00,0.00,Relatively Moderate,"1,843,101.97",0.00,0.00,"1,843,101.97",93.15,Relatively High,0.00,0.00,98.10,"2,068,721.20",95.02,Relatively Moderate,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,"2,198,844,020.00",0.00,2.41,147.00,0.66,2.41,"3,095,148,782.56","3,630.29","49,734,946,008.00","52,830,094,790.55",0.00,0.00,Relatively Moderate,"3,789,854.42",0.00,0.00,"3,789,854.42",95.88,Relatively High,0.00,0.00,97.53,"4,325,811.16",96.94,Relatively High,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,"2,117,424,005.00","2,031,375.00",23.81,147.00,0.66,19.74,"3,258,842,250.35","2,341.81","32,082,831,250.00","35,341,673,500.35",0.00,0.00,Relatively High,"4,048,118.16",0.00,0.00,"4,048,118.16",96.07,Relatively High,0.00,0.00,98.03,"4,613,609.60",97.24,Relatively High,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,"728,709,822.00",0.00,1.85,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,"630,274,044.00",2.00,1.20,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,"708,564,677.00","694,725.00",11.80,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,"935,915,555.00","239,704.00",4.17,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
