OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Wildfire - Number of Events,Wildfire - Annualized Frequency,Wildfire - Exposure - Impacted Area (sq mi),Wildfire - Exposure - Building Value,Wildfire - Exposure - Population,Wildfire - Exposure - Population Equivalence,Wildfire - Exposure - Agriculture Value,Wildfire - Exposure - Total,Wildfire - Historic Loss Ratio - Buildings,Wildfire - Historic Loss Ratio - Population,Wildfire - Historic Loss Ratio - Agriculture,Wildfire - Historic Loss Ratio - Total Rating,Wildfire - Expected Annual Loss - Building Value,Wildfire - Expected Annual Loss - Population,Wildfire - Expected Annual Loss - Population Equivalence,Wildfire - Expected Annual Loss - Agriculture Value,Wildfire - Expected Annual Loss - Total,Wildfire - Expected Annual Loss Score,Wildfire - Expected Annual Loss Rating,Wildfire - Expected Annual Loss Rate - Building,Wildfire - Expected Annual Loss Rate - Population,Wildfire - Expected Annual Loss Rate - Agriculture,Wildfire - Expected Annual Loss Rate - National Percentile,Wildfire - Hazard Type Risk Index Value,Wildfire - Hazard Type Risk Index Score,Wildfire - Hazard Type Risk Index Rating,National Risk Index Version
24003,T15001020100,Hawaii,HI,15,Hawaii,County,001,15001,020100,15001020100,5433,"847,576,059.00","22,895,173.00",102.20,,0.00,11.72,"251,786,243.70","1,818.26","24,910,185,493.59","14,344,809.19","25,176,316,546.49",0.30,0.00,0.00,Relatively Moderate,"156,557.26",0.00,"10,394.81",118.83,"167,070.90",96.11,Relatively Moderate,0.00,0.00,0.00,96.24,"189,564.75",96.07,Relatively Moderate,December 2025
24004,T15001020202,Hawaii,HI,15,Hawaii,County,001,15001,020202,15001020202,2035,"377,725,317.00","16,009,485.00",248.02,,0.00,16.44,"121,263,247.97",777.07,"10,645,846,389.58","9,507,417.79","10,776,617,055.34",0.30,0.00,0.00,Relatively Moderate,"66,789.03",0.00,"3,408.24",70.92,"70,268.18",93.58,Relatively Moderate,0.00,0.00,0.00,96.94,"74,899.39",93.33,Relatively Moderate,December 2025
24005,T15001020300,Hawaii,HI,15,Hawaii,County,001,15001,020300,15001020300,3812,"1,393,041,817.00",0.00,1.48,,0.00,0.10,"114,904,523.97",386.30,"5,292,263,847.11",0.00,"5,407,168,371.08",0.30,0.00,0.00,Relatively Moderate,"20,924.79",0.00,598.94,0.00,"21,523.73",88.56,Relatively Low,0.00,0.00,0.00,92.60,"32,504.36",89.81,Relatively Moderate,December 2025
24006,T15001020400,Hawaii,HI,15,Hawaii,County,001,15001,020400,15001020400,3517,"938,505,634.00",0.00,1.92,,0.00,0.05,"67,330,246.12",288.13,"3,947,417,325.67",0.00,"4,014,747,571.79",0.30,0.00,0.00,Relatively Low,"2,691.00",0.00,258.62,0.00,"2,949.62",75.96,Relatively Low,0.00,0.00,0.00,80.57,"3,310.69",75.90,Relatively Low,December 2025
24007,T15001020500,Hawaii,HI,15,Hawaii,County,001,15001,020500,15001020500,5944,"2,198,844,020.00",0.00,2.41,,0.00,0.10,"131,776,965.82",519.59,"7,118,377,136.41",0.00,"7,250,154,102.23",0.30,0.00,0.00,Relatively Low,"13,888.47",0.00,422.77,0.00,"14,311.24",86.25,Relatively Low,0.00,0.00,0.00,88.94,"16,335.12",86.14,Relatively Low,December 2025
24008,T15001020600,Hawaii,HI,15,Hawaii,County,001,15001,020600,15001020600,5631,"2,117,424,005.00","2,031,375.00",23.81,,0.00,1.08,"253,872,081.96","1,130.98","15,494,401,835.34","1,499,246.92","15,749,773,164.22",0.30,0.00,0.00,Relatively Moderate,"80,058.67",0.00,"3,332.78",8.93,"83,400.38",94.19,Relatively Moderate,0.00,0.00,0.00,94.54,"95,050.78",94.16,Relatively Moderate,December 2025
24009,T15001020701,Hawaii,HI,15,Hawaii,County,001,15001,020701,15001020701,4811,"728,709,822.00",0.00,1.85,,0.00,0.10,"38,064,417.15",417.74,"5,723,011,935.60",0.00,"5,761,076,352.75",0.30,0.00,0.00,Relatively Low,"3,588.78",0.00,651.67,0.00,"4,240.45",78.51,Relatively Low,0.00,0.00,0.00,78.54,"5,864.78",79.76,Relatively Low,December 2025
24010,T15001020702,Hawaii,HI,15,Hawaii,County,001,15001,020702,15001020702,4647,"630,274,044.00",2.00,1.20,,0.00,0.03,"15,777,522.48",136.25,"1,866,669,380.74",1.12,"1,882,446,904.35",0.30,0.00,0.00,Relatively Low,"3,117.09",0.00,285.81,0.00,"3,402.90",77.00,Relatively Low,0.00,0.00,0.00,83.96,"2,741.01",74.54,Relatively Low,December 2025
24011,T15001020801,Hawaii,HI,15,Hawaii,County,001,15001,020801,15001020801,4365,"708,564,677.00","694,725.00",11.80,,0.00,0.75,"197,307,740.07","1,860.86","25,493,730,709.01","369,839.53","25,691,408,288.60",0.30,0.00,0.00,Relatively Moderate,"105,931.94",0.00,"10,402.51",2.05,"116,336.50",95.19,Relatively Moderate,0.00,0.00,0.00,94.54,"108,053.20",94.56,Relatively Moderate,December 2025
24012,T15001020802,Hawaii,HI,15,Hawaii,County,001,15001,020802,15001020802,6544,"935,915,555.00","239,704.00",4.17,,0.00,0.51,"194,126,620.03","1,580.56","21,653,611,498.55","157,641.23","21,847,895,759.81",0.30,0.00,0.00,Relatively Low,"62,463.93",0.00,"4,410.70",0.72,"66,875.35",93.40,Relatively Moderate,0.00,0.00,0.00,94.43,"91,278.45",94.03,Relatively Moderate,December 2025
